=========================================================
Revision: /tmp/downloads/leakcanary/revisions/rev_f0cc0_331f5/rev_f0cc0-331f5.revisions
############## CONFLICT ##############
Possible renaming: 0
Conflict body: 
@Override public void analyze(HeapDump heapDump) {
    checkNotNull(heapDump, "heapDump");
    HeapAnalyzerService.runAnalysis(context, heapDump, listenerServiceClass);
  }
File path: /tmp/downloads/leakcanary/revisions/rev_f0cc0_331f5/rev_f0cc0-331f5/library/leakcanary-android/src/main/java/com/squareup/leakcanary/ServiceHeapDumpListener.java
############## CONFLICT ##############
Conflict type: ModifierList
Merge Commit SHA-1: f4a00761a400f56e7aded0f1d7826ddfeeb129a4
Parent1 SHA-1: f0cc04dfbf3cca92a669f0d250034d410eb05816
Parent2 SHA-1: 331f5933395f003017c393925d4ac844265418d6
Number of Conflicts: 1
Different Spacing: 0
Consecutive Lines: 0
Intersection: 0
Cause same signature: 
Possible renaming: 0
Conflict body: 
public final
File path: /tmp/downloads/leakcanary/revisions/rev_f0cc0_331f5/rev_f0cc0-331f5/library/leakcanary-android/src/main/java/com/squareup/leakcanary/LeakCanary.java
############## CONFLICT ##############
Conflict type: EditSameMC
Merge Commit SHA-1: f4a00761a400f56e7aded0f1d7826ddfeeb129a4
Parent1 SHA-1: f0cc04dfbf3cca92a669f0d250034d410eb05816
Parent2 SHA-1: 331f5933395f003017c393925d4ac844265418d6
Number of Conflicts: 1
Different Spacing: 0
Consecutive Lines: 0
Intersection: 0
Cause same signature: 
Possible renaming: 0
Conflict body: 
public static RefWatcher install(Application application) {
    return install(application, DisplayLeakService.class);
  }
File path: /tmp/downloads/leakcanary/revisions/rev_f0cc0_331f5/rev_f0cc0-331f5/library/leakcanary-android/src/main/java/com/squareup/leakcanary/LeakCanary.java
############## CONFLICT ##############
Conflict type: EditSameMC
Merge Commit SHA-1: f4a00761a400f56e7aded0f1d7826ddfeeb129a4
Parent1 SHA-1: f0cc04dfbf3cca92a669f0d250034d410eb05816
Parent2 SHA-1: 331f5933395f003017c393925d4ac844265418d6
Number of Conflicts: 1
Different Spacing: 0
Consecutive Lines: 0
Intersection: 0
Cause same signature: 
Possible renaming: 0
Conflict body: 
public static RefWatcher install(Application application,
      Class<? extends AbstractAnalysisResultService> listenerServiceClass) {
    if (isInAnalyzerProcess(application)) {
      return RefWatcher.DISABLED;
    }
    enableDisplayLeakActivity(application);
    HeapDump.Listener heapDumpListener =
        new ServiceHeapDumpListener(application, listenerServiceClass);
    RefWatcher refWatcher = androidWatcher(application, heapDumpListener);
    ActivityRefWatcher.installOnIcsPlus(application, refWatcher);
    return refWatcher;
  }
File path: /tmp/downloads/leakcanary/revisions/rev_f0cc0_331f5/rev_f0cc0-331f5/library/leakcanary-android/src/main/java/com/squareup/leakcanary/LeakCanary.java
############## CONFLICT ##############
Conflict type: EditSameMC
Merge Commit SHA-1: f4a00761a400f56e7aded0f1d7826ddfeeb129a4
Parent1 SHA-1: f0cc04dfbf3cca92a669f0d250034d410eb05816
Parent2 SHA-1: 331f5933395f003017c393925d4ac844265418d6
Number of Conflicts: 1
Different Spacing: 0
Consecutive Lines: 0
Intersection: 0
Cause same signature: 
Possible renaming: 0
Conflict body: 
public static RefWatcher androidWatcher(Application app, HeapDump.Listener heapDumpListener) {
    DebuggerControl debuggerControl = new AndroidDebuggerControl();
    AndroidHeapDumper heapDumper = new AndroidHeapDumper(app);
    heapDumper.cleanup();
    return new RefWatcher(new AndroidWatchExecutor(), debuggerControl, GcTrigger.DEFAULT,
        heapDumper, heapDumpListener);
  }
File path: /tmp/downloads/leakcanary/revisions/rev_f0cc0_331f5/rev_f0cc0-331f5/library/leakcanary-android/src/main/java/com/squareup/leakcanary/LeakCanary.java
############## CONFLICT ##############
Conflict type: EditSameMC
Merge Commit SHA-1: f4a00761a400f56e7aded0f1d7826ddfeeb129a4
Parent1 SHA-1: f0cc04dfbf3cca92a669f0d250034d410eb05816
Parent2 SHA-1: 331f5933395f003017c393925d4ac844265418d6
Number of Conflicts: 1
Different Spacing: 0
Consecutive Lines: 0
Intersection: 0
Cause same signature: 
Possible renaming: 0
Conflict body: 
public static void enableDisplayLeakActivity(Context context) {
    setEnabled(context, DisplayLeakActivity.class, true);
  }
File path: /tmp/downloads/leakcanary/revisions/rev_f0cc0_331f5/rev_f0cc0-331f5/library/leakcanary-android/src/main/java/com/squareup/leakcanary/LeakCanary.java
############## CONFLICT ##############
Conflict type: EditSameMC
Merge Commit SHA-1: f4a00761a400f56e7aded0f1d7826ddfeeb129a4
Parent1 SHA-1: f0cc04dfbf3cca92a669f0d250034d410eb05816
Parent2 SHA-1: 331f5933395f003017c393925d4ac844265418d6
Number of Conflicts: 1
Different Spacing: 0
Consecutive Lines: 0
Intersection: 0
Cause same signature: 
Possible renaming: 0
Conflict body: 
public static String leakInfo(Context context, HeapDump heapDump, AnalysisResult result) {
    PackageManager packageManager = context.getPackageManager();
    String packageName = context.getPackageName();
    PackageInfo packageInfo;
    try {
      packageInfo = packageManager.getPackageInfo(packageName, 0);
    } catch (PackageManager.NameNotFoundException e) {
      throw new RuntimeException(e);
    }
    String versionName = packageInfo.versionName;
    int versionCode = packageInfo.versionCode;
    String info = "In " + packageName + ":" + versionName + ":" + versionCode + ".\n";
    if (result.leakFound) {
      if (result.excludedLeak) {
        info += "* LEAK CAN BE IGNORED.\n";
      }
      info += "* " + result.className;
      if (!heapDump.referenceName.equals("")) {
        info += " (" + heapDump.referenceName + ")";
      }
      info += " has leaked:\n" + result.leakTrace.toString() + "\n";
    } else if (result.failure != null) {
      info += "* FAILURE:\n" + Log.getStackTraceString(result.failure) + "\n";
    } else {
      info += "* NO LEAK FOUND.\n\n";
    }
    info += "* Reference Key: "
        + heapDump.referenceKey
        + "\n"
        + "* Device: "
        + Build.MANUFACTURER
        + " "
        + Build.BRAND
        + " "
        + Build.MODEL
        + " "
        + Build.PRODUCT
        + "\n"
        + "* Android Version: "
        + Build.VERSION.RELEASE
        + " API: "
        + Build.VERSION.SDK_INT
        + "\n"
        + "* Durations: watch="
        + heapDump.watchDurationMs
        + "ms, gc="
        + heapDump.gcDurationMs
        + "ms, heap dump="
        + heapDump.heapDumpDurationMs
        + "ms, analysis="
        + result.analysisDurationMs
        + "ms"
        + "\n";

    return info;
  }
File path: /tmp/downloads/leakcanary/revisions/rev_f0cc0_331f5/rev_f0cc0-331f5/library/leakcanary-android/src/main/java/com/squareup/leakcanary/LeakCanary.java
############## CONFLICT ##############
Conflict type: EditSameMC
Merge Commit SHA-1: f4a00761a400f56e7aded0f1d7826ddfeeb129a4
Parent1 SHA-1: f0cc04dfbf3cca92a669f0d250034d410eb05816
Parent2 SHA-1: 331f5933395f003017c393925d4ac844265418d6
Number of Conflicts: 1
Different Spacing: 0
Consecutive Lines: 0
Intersection: 0
Cause same signature: 
Possible renaming: 0
Conflict body: 
public static boolean isInAnalyzerProcess(Context context) {
    return isInServiceProcess(context, HeapAnalyzerService.class);
  }
File path: /tmp/downloads/leakcanary/revisions/rev_f0cc0_331f5/rev_f0cc0-331f5/library/leakcanary-android/src/main/java/com/squareup/leakcanary/LeakCanary.java
############## CONFLICT ##############
Conflict type: EditSameMC
Merge Commit SHA-1: f4a00761a400f56e7aded0f1d7826ddfeeb129a4
Parent1 SHA-1: f0cc04dfbf3cca92a669f0d250034d410eb05816
Parent2 SHA-1: 331f5933395f003017c393925d4ac844265418d6
Number of Conflicts: 1
Different Spacing: 0
Consecutive Lines: 0
Intersection: 0
Cause same signature: 
Possible renaming: 0
Conflict body: 
private static boolean isInServiceProcess(Context context,
      Class<? extends Service> serviceClass) {
    PackageManager packageManager = context.getPackageManager();
    PackageInfo packageInfo;
    try {
      packageInfo = packageManager.getPackageInfo(context.getPackageName(), GET_SERVICES);
    } catch (Exception e) {
      Log.e("AndroidUtils", "Could not get package info for " + context.getPackageName(), e);
      return false;
    }
    String mainProcess = packageInfo.applicationInfo.processName;

    ComponentName component = new ComponentName(context, serviceClass);
    ServiceInfo serviceInfo;
    try {
      serviceInfo = packageManager.getServiceInfo(component, 0);
    } catch (PackageManager.NameNotFoundException ignored) {
      // Service is disabled.
      return false;
    }

    if (serviceInfo.processName.equals(mainProcess)) {
      Log.e("AndroidUtils",
          "Did not expect service " + serviceClass + " to run in main process " + mainProcess);
      // Technically we are in the service process, but we're not in the service dedicated process.
      return false;
    }

    int myPid = android.os.Process.myPid();
    ActivityManager activityManager =
        (ActivityManager) context.getSystemService(Context.ACTIVITY_SERVICE);
    ActivityManager.RunningAppProcessInfo myProcess = null;
    for (ActivityManager.RunningAppProcessInfo process : activityManager.getRunningAppProcesses()) {
      if (process.pid == myPid) {
        myProcess = process;
        break;
      }
    }
    if (myProcess == null) {
      Log.e("AndroidUtils", "Could not find running process for " + myPid);
      return false;
    }

    return myProcess.processName.equals(serviceInfo.processName);
  }
File path: /tmp/downloads/leakcanary/revisions/rev_f0cc0_331f5/rev_f0cc0-331f5/library/leakcanary-android/src/main/java/com/squareup/leakcanary/LeakCanary.java
############## CONFLICT ##############
Conflict type: EditSameMC
Merge Commit SHA-1: f4a00761a400f56e7aded0f1d7826ddfeeb129a4
Parent1 SHA-1: f0cc04dfbf3cca92a669f0d250034d410eb05816
Parent2 SHA-1: 331f5933395f003017c393925d4ac844265418d6
Number of Conflicts: 1
Different Spacing: 0
Consecutive Lines: 0
Intersection: 0
Cause same signature: 
Possible renaming: 0
Conflict body: 
static void setEnabled(Context context, Class<?> componentClass, boolean enabled) {
    ComponentName component = new ComponentName(context, componentClass);
    PackageManager packageManager = context.getPackageManager();
    int newState = enabled ? COMPONENT_ENABLED_STATE_ENABLED : COMPONENT_ENABLED_STATE_DISABLED;
    // Blocks on IPC.
    packageManager.setComponentEnabledSetting(component, newState, DONT_KILL_APP);
  }
File path: /tmp/downloads/leakcanary/revisions/rev_f0cc0_331f5/rev_f0cc0-331f5/library/leakcanary-android/src/main/java/com/squareup/leakcanary/LeakCanary.java
############## CONFLICT ##############
Conflict type: EditSameMC
Merge Commit SHA-1: f4a00761a400f56e7aded0f1d7826ddfeeb129a4
Parent1 SHA-1: f0cc04dfbf3cca92a669f0d250034d410eb05816
Parent2 SHA-1: 331f5933395f003017c393925d4ac844265418d6
Number of Conflicts: 1
Different Spacing: 0
Consecutive Lines: 0
Intersection: 0
Cause same signature: 
Possible renaming: 0
Conflict body: 
static String classSimpleName(String className) {
    int separator = className.lastIndexOf('.');
    if (separator == -1) {
      return className;
    } else {
      return className.substring(separator + 1);
    }
  }
File path: /tmp/downloads/leakcanary/revisions/rev_f0cc0_331f5/rev_f0cc0-331f5/library/leakcanary-android/src/main/java/com/squareup/leakcanary/LeakCanary.java
############## CONFLICT ##############
Conflict type: EditSameMC
Merge Commit SHA-1: f4a00761a400f56e7aded0f1d7826ddfeeb129a4
Parent1 SHA-1: f0cc04dfbf3cca92a669f0d250034d410eb05816
Parent2 SHA-1: 331f5933395f003017c393925d4ac844265418d6
Number of Conflicts: 1
Different Spacing: 0
Consecutive Lines: 0
Intersection: 0
Cause same signature: 
Possible renaming: 0
Conflict body: 
private LeakCanary() {
    throw new AssertionError();
  }
File path: /tmp/downloads/leakcanary/revisions/rev_f0cc0_331f5/rev_f0cc0-331f5/library/leakcanary-android/src/main/java/com/squareup/leakcanary/LeakCanary.java
############## CONFLICT ##############
Conflict type: ModifierList
Merge Commit SHA-1: f4a00761a400f56e7aded0f1d7826ddfeeb129a4
Parent1 SHA-1: f0cc04dfbf3cca92a669f0d250034d410eb05816
Parent2 SHA-1: 331f5933395f003017c393925d4ac844265418d6
Number of Conflicts: 1
Different Spacing: 0
Consecutive Lines: 0
Intersection: 0
Cause same signature: 
Possible renaming: 0
Conflict body: 
public
File path: /tmp/downloads/leakcanary/revisions/rev_f0cc0_331f5/rev_f0cc0-331f5/library/leakcanary-android/src/main/java/com/squareup/leakcanary/DisplayLeakService.java
############## CONFLICT ##############
Conflict type: ExtendsList
Merge Commit SHA-1: f4a00761a400f56e7aded0f1d7826ddfeeb129a4
Parent1 SHA-1: f0cc04dfbf3cca92a669f0d250034d410eb05816
Parent2 SHA-1: 331f5933395f003017c393925d4ac844265418d6
Number of Conflicts: 1
Different Spacing: 0
Consecutive Lines: 0
Intersection: 0
Cause same signature: 
Possible renaming: 0
Conflict body: 
extends AbstractAnalysisResultService
File path: /tmp/downloads/leakcanary/revisions/rev_f0cc0_331f5/rev_f0cc0-331f5/library/leakcanary-android/src/main/java/com/squareup/leakcanary/DisplayLeakService.java
############## CONFLICT ##############
Conflict type: EditSameMC
Merge Commit SHA-1: f4a00761a400f56e7aded0f1d7826ddfeeb129a4
Parent1 SHA-1: f0cc04dfbf3cca92a669f0d250034d410eb05816
Parent2 SHA-1: 331f5933395f003017c393925d4ac844265418d6
Number of Conflicts: 1
Different Spacing: 0
Consecutive Lines: 0
Intersection: 0
Cause same signature: 
Possible renaming: 0
Conflict body: 
private static File findNextAvailableHprofFile(File directory, int maxFiles) {
    if (!directory.exists()) {
      directory.mkdir();
    }
    for (int i = 0; i < maxFiles; i++) {
      String heapDumpName = "heap_dump_" + i + ".hprof";
      File file = new File(directory, heapDumpName);
      if (!file.exists()) {
        return file;
      }
    }
    return null;
  }
File path: /tmp/downloads/leakcanary/revisions/rev_f0cc0_331f5/rev_f0cc0-331f5/library/leakcanary-android/src/main/java/com/squareup/leakcanary/DisplayLeakService.java
############## CONFLICT ##############
Conflict type: EditSameMC
Merge Commit SHA-1: f4a00761a400f56e7aded0f1d7826ddfeeb129a4
Parent1 SHA-1: f0cc04dfbf3cca92a669f0d250034d410eb05816
Parent2 SHA-1: 331f5933395f003017c393925d4ac844265418d6
Number of Conflicts: 1
Different Spacing: 0
Consecutive Lines: 0
Intersection: 0
Cause same signature: 
Possible renaming: 0
Conflict body: 
@TargetApi(HONEYCOMB) @Override
  protected final void onHeapAnalyzed(HeapDump heapDump, AnalysisResult result) {
    String leakInfo = leakInfo(this, heapDump, result);
    Log.d("LeakCanary", leakInfo);

    if (!result.leakFound || result.excludedLeak) {
      afterDefaultHandling(heapDump, result, leakInfo);
      return;
    }

    File leakDirectory = DisplayLeakActivity.leakDirectory(this);
    int maxStoredLeaks = getResources().getInteger(R.integer.__leak_canary_max_stored_leaks);
    File renamedFile = findNextAvailableHprofFile(leakDirectory, maxStoredLeaks);

    if (renamedFile == null) {
      // No file available.
      Log.e("LeakCanary",
          "Leak result dropped because we already store " + maxStoredLeaks + " leak traces.");
      afterDefaultHandling(heapDump, result, leakInfo);
      return;
    }

    heapDump = heapDump.renameFile(renamedFile);

    File resultFile = DisplayLeakActivity.leakResultFile(renamedFile);
    FileOutputStream fos = null;
    try {
      fos = new FileOutputStream(resultFile);
      ObjectOutputStream oos = new ObjectOutputStream(fos);
      oos.writeObject(heapDump);
      oos.writeObject(result);
    } catch (IOException e) {
      Log.e("LeakCanary", "Could not save leak analysis result to disk", e);
      afterDefaultHandling(heapDump, result, leakInfo);
      return;
    } finally {
      if (fos != null) {
        try {
          fos.close();
        } catch (IOException ignored) {
        }
      }
    }

    PendingIntent pendingIntent =
        DisplayLeakActivity.createPendingIntent(this, heapDump.referenceKey);

    String contentTitle =
        getString(R.string.__leak_canary_class_has_leaked, classSimpleName(result.className));
    String contentText = getString(R.string.__leak_canary_notification_message);

    NotificationManager notificationManager =
        (NotificationManager) getSystemService(Context.NOTIFICATION_SERVICE);

    Notification notification;
    if (SDK_INT < HONEYCOMB) {
      notification = new Notification();
      notification.icon = R.drawable.__leak_canary_notification;
      notification.when = System.currentTimeMillis();
      notification.flags |= Notification.FLAG_AUTO_CANCEL;
      notification.setLatestEventInfo(this, contentTitle, contentText, pendingIntent);
    } else {
      Notification.Builder builder = new Notification.Builder(this) //
          .setSmallIcon(R.drawable.__leak_canary_notification)
          .setWhen(System.currentTimeMillis())
          .setContentTitle(contentTitle)
          .setContentText(contentText)
          .setAutoCancel(true)
          .setContentIntent(pendingIntent);
      if (SDK_INT < JELLY_BEAN) {
        notification = builder.getNotification();
      } else {
        notification = builder.build();
      }
    }
    notificationManager.notify(0xDEAFBEEF, notification);
    afterDefaultHandling(heapDump, result, leakInfo);
  }
File path: /tmp/downloads/leakcanary/revisions/rev_f0cc0_331f5/rev_f0cc0-331f5/library/leakcanary-android/src/main/java/com/squareup/leakcanary/DisplayLeakService.java
############## CONFLICT ##############
Conflict type: EditSameMC
Merge Commit SHA-1: f4a00761a400f56e7aded0f1d7826ddfeeb129a4
Parent1 SHA-1: f0cc04dfbf3cca92a669f0d250034d410eb05816
Parent2 SHA-1: 331f5933395f003017c393925d4ac844265418d6
Number of Conflicts: 1
Different Spacing: 0
Consecutive Lines: 0
Intersection: 0
Cause same signature: 
Possible renaming: 0
Conflict body: 
protected void afterDefaultHandling(HeapDump heapDump, AnalysisResult result, String leakInfo) {
  }
File path: /tmp/downloads/leakcanary/revisions/rev_f0cc0_331f5/rev_f0cc0-331f5/library/leakcanary-android/src/main/java/com/squareup/leakcanary/DisplayLeakService.java
############## CONFLICT ##############
Conflict type: ModifierList
Merge Commit SHA-1: f4a00761a400f56e7aded0f1d7826ddfeeb129a4
Parent1 SHA-1: f0cc04dfbf3cca92a669f0d250034d410eb05816
Parent2 SHA-1: 331f5933395f003017c393925d4ac844265418d6
